ClientID,Nom,Ville,DateInscription,TotalTransactions,TotalDepense
CLT_1000,Thierno Doumbouya,Nzérékoré,2022-04-25,34,8044
CLT_1001,Salematou Condé,Nzérékoré,2023-12-22,180,170128
CLT_1002,Mory Traoré,Kankan,2021-05-13,197,52960
CLT_1003,Kemo Diallo,Labé,2022-11-10,82,9893
CLT_1004,Saran Traoré,Conakry,2022-12-14,6,58551
CLT_1005,Ibrahima Traoré,Nzérékoré,2020-03-29,116,400050
CLT_1006,Nene Keita,Labé,2022-10-04,78,25784
CLT_1007,Ibrahima Barry,Kankan,2023-04-03,112,348842
CLT_1008,Ousmane Baldé,Labé,2020-10-10,110,454903
CLT_1009,Moussa Doumbouya,Conakry,2023-11-01,192,389649
CLT_1010,Mariama Keita,Labé,2023-11-08,176,438309
CLT_1011,Binta Soumah,Conakry,2021-09-18,49,221792
CLT_1012,Thierno Bangoura,Kankan,2021-01-06,57,329966
CLT_1013,Binta Soumah,Conakry,2020-04-11,136,449251
CLT_1014,Fatoumata Bangoura,Kankan,2020-07-20,35,86042
CLT_1015,Saran Camara,Kindia,2020-10-20,37,373657
CLT_1016,Sekou Keita,Nzérékoré,2023-02-12,165,442537
CLT_1017,Abdoulaye Bangoura,Labé,2020-11-14,51,441161
CLT_1018,Mory Condé,Nzérékoré,2020-02-21,97,406459
CLT_1019,Fanta Bah,Labé,2021-09-09,102,348484
CLT_1020,Salematou Soumah,Conakry,2020-05-10,63,213510
CLT_1021,Fatoumata Sylla,Nzérékoré,2023-02-23,134,196171
CLT_1022,Abdoulaye Keita,Kankan,2023-11-08,42,107587
CLT_1023,Abdoulaye Sow,Kankan,2022-07-11,95,379653
CLT_1024,Mamadou Cissé,Nzérékoré,2022-07-22,186,361670
CLT_1025,Alpha Bah,Kindia,2020-09-30,161,265166
CLT_1026,Ibrahima Sow,Conakry,2020-01-24,42,134157
CLT_1027,Ousmane Barry,Kankan,2022-01-27,174,319851
CLT_1028,Alpha Keita,Kindia,2020-06-09,50,103801
CLT_1029,Fatoumata Camara,Conakry,2022-08-04,89,55999
CLT_1030,Binta Keita,Nzérékoré,2021-06-08,58,167699
CLT_1031,Saran Diallo,Labé,2020-12-04,13,457620
CLT_1032,Ousmane Keita,Kankan,2023-10-28,131,365104
CLT_1033,Lamine Barry,Nzérékoré,2022-04-02,125,384101
CLT_1034,Salematou Touré,Nzérékoré,2020-04-08,152,166002
CLT_1035,Abdoulaye Sow,Kindia,2020-10-05,185,281260
CLT_1036,Mory Bah,Kankan,2021-01-10,151,38003
CLT_1037,Salematou Diallo,Kindia,2020-03-08,193,339791
CLT_1038,Sekou Bah,Kankan,2021-08-06,109,342825
CLT_1039,Lamine Sylla,Kindia,2020-02-22,77,141458
CLT_1040,Mory Doumbouya,Kankan,2021-01-26,36,431174
CLT_1041,Ousmane Bangoura,Labé,2022-04-10,149,174113
CLT_1042,Sekou Bah,Labé,2023-08-05,30,474269
CLT_1043,Aissatou Bangoura,Labé,2020-11-29,108,282182
CLT_1044,Lamine Baldé,Conakry,2021-07-06,80,414382
CLT_1045,Mamadou Keita,Conakry,2020-10-14,153,334140
CLT_1046,Mamadou Bangoura,Kindia,2023-04-15,75,138070
CLT_1047,Ibrahima Doumbouya,Kankan,2022-07-25,168,137169
CLT_1048,Nene Cissé,Nzérékoré,2020-12-25,173,242864
CLT_1049,Ousmane Condé,Nzérékoré,2021-12-25,10,103621
CLT_1050,Salematou Baldé,Labé,2023-01-11,127,231980
CLT_1051,Abdoulaye Baldé,Labé,2021-08-31,73,8784
CLT_1052,Nene Doumbouya,Nzérékoré,2022-03-20,157,433855
CLT_1053,Lamine Baldé,Nzérékoré,2022-05-25,182,227548
CLT_1054,Ousmane Bah,Kindia,2020-03-31,37,224929
CLT_1055,Mamadou Bangoura,Kankan,2023-07-20,25,159604
CLT_1056,Saran Traoré,Kindia,2021-08-13,48,117321
CLT_1057,Ousmane Barry,Kankan,2021-07-11,182,422514
CLT_1058,Abdoulaye Diallo,Labé,2022-02-09,123,43816
CLT_1059,Alpha Sow,Nzérékoré,2022-11-14,169,338987
CLT_1060,Salematou Camara,Labé,2020-02-14,116,460890
CLT_1061,Mamadou Touré,Conakry,2020-05-25,159,113893
CLT_1062,Aissatou Soumah,Labé,2023-11-30,184,235409
CLT_1063,Mariama Keita,Nzérékoré,2021-06-03,38,89201
CLT_1064,Lamine Touré,Nzérékoré,2021-06-07,196,393024
CLT_1065,Fatoumata Diallo,Kindia,2020-09-29,184,59091
CLT_1066,Alpha Bangoura,Kindia,2020-01-27,158,431648
CLT_1067,Sekou Sylla,Kankan,2020-04-04,172,448908
CLT_1068,Fanta Barry,Kankan,2020-01-28,76,44925
CLT_1069,Sekou Bangoura,Kankan,2023-11-22,138,48793
CLT_1070,Fatoumata Diallo,Nzérékoré,2021-12-04,103,169386
CLT_1071,Binta Touré,Conakry,2020-04-19,92,199569
CLT_1072,Ousmane Bah,Labé,2023-02-09,85,63931
CLT_1073,Mamadou Soumah,Nzérékoré,2023-09-05,37,19944
CLT_1074,Kadiatou Bangoura,Conakry,2021-04-10,128,300088
CLT_1075,Mamadou Bangoura,Kankan,2023-02-24,11,312184
CLT_1076,Ibrahima Barry,Kindia,2022-05-29,197,456454
CLT_1077,Binta Cissé,Labé,2020-09-22,35,246688
CLT_1078,Fatoumata Soumah,Conakry,2022-12-24,175,399743
CLT_1079,Binta Barry,Labé,2022-04-02,52,207560
CLT_1080,Alpha Sow,Labé,2023-02-10,119,196035
CLT_1081,Mory Doumbouya,Conakry,2022-11-03,141,135900
CLT_1082,Nene Condé,Nzérékoré,2021-05-28,164,340623
CLT_1083,Saran Diallo,Kankan,2020-08-05,169,308886
CLT_1084,Sekou Sylla,Kindia,2020-02-09,30,480626
CLT_1085,Sekou Bangoura,Nzérékoré,2022-11-14,119,345058
